Source	ATG	Target	Interaction	CCV	SYP61	Peroxisome	TGN	VHA-A1-GFP	CLC2-GFP	RABF1/ARA6-RFP	RFP-RABF2b/ARA7	YFP-GOT1	YFP-RABD2a/ARA5	YFP-RABG3f	YFP-VAMP711	Interactor Number	Contaminant	S-acylation	ER	Golgi	mit/plastid	Other	PM	Vacuole	Contaminant	Golgi	ER	ER/Vacuole	Golgi	mit/plastid	not classified	PM	Vacuole	Grand Total	TMs	Lipid modifications	IEA	IDA	Signal peptide	Database	unconventional?
ARA6/AtRABF1	AT3G26520	"TIP2, SITIP, GAMMA-TIP2, TIP1;2 tonoplast intrinsic protein 2 "	pp				1			1	1					2								1		1								5	7	0	0	chloroplast columella endoplasmic reticulum Golgi apparatus membrane plasma membrane vacuolar membrane vacuole 	0	Swiss	
ARA6/AtRABF1	AT1G59870	"PEN3, PDR8, ATPDR8, ABCG36, ATABCG36 ABC-2 and Plant PDR ABC-type transporter family protein "	pp		1			1	1	1	1	1	1	1	1	7		1					1									1		12	13	0	0	chloroplast chloroplast envelope membrane mitochondrion plasma membrane vacuolar membrane 	0	Swiss	
ARA6/AtRABF1	AT5G53480	ARM repeat superfamily protein 	pp						1	1	1	1	1	1	1	7		1																8	0	0	0	chloroplast cytoplasm nucleus 	0	Swiss	
ARA6/AtRABF1	AT2G46520	"cellular apoptosis susceptibility protein, putative / importin-alpha re-exporter, putative "	pp							1	1	1	1	1	1	6		1																7	0	0	nucleus 	cytosol membrane plasmodesma 	0	Swiss	
ARA6/AtRABF1	AT2G33120	VAMP722/SAR1	pp							1	1	1	1	1		5																		5	1	0	0	0	0	Swiss	
ARA6/AtRABF1	AT2G02560	"CAND1, ATCAND1, ETA2, TIP120, HVE cullin-associated and neddylation dissociated "	pp							1	1			1		3		1																4	0	0	0	cell wall cytosol plasma membrane 	0	Swiss	
ARA6/AtRABF1	AT2G36530	"LOS2, ENO2 Enolase "	pp							1	1			1		3		1				1												5	0	0	0	apoplast chloroplast cytoplasm cytosol membrane mitochondrial envelope mitochondrion nucleus plasma membrane plasmodesma 	0	Swiss	
ARA6/AtRABF1	AT1G26850	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp							1	1	1	1			4		1		1						1			1					8	1	0	Golgi membrane 	endosome Golgi apparatus membrane trans-Golgi network 	0	Swiss	
ARA6/AtRABF1	AT4G18030	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp					1		1	1	1	1			4				1						1			1					8	1	0	Golgi membrane 	endosome Golgi apparatus plant-type cell wall trans-Golgi network vacuolar membrane 	0	Swiss	
ARA6/AtRABF1	AT3G23300	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp							1		1	1		1	4				1						1			1					7	1	0	Golgi membrane 	endosome Golgi apparatus nucleus trans-Golgi network vacuolar membrane 	0	Swiss	
